,Call  Failure,Complains,Subscription  Length,Charge  Amount,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Customer Value,Churn,Average of use
400,6,0,35,0,0,12,3,1,1,170.12,0,1.1084656084656084
401,0,0,36,0,0,0,2,1,2,0.0,0,0.0
402,8,0,34,0,348,19,3,1,1,1485.0,0,0.728525641025641
403,8,0,35,0,0,30,1,1,1,224.18,0,1.1545977011494253
404,1,0,35,0,0,28,1,1,1,124.465,0,0.7376666666666667
405,9,0,35,1,21,23,3,1,1,230.76,0,0.8096846846846847
406,2,0,35,0,274,13,3,1,1,1184.44,0,1.1720430107526882
407,11,0,34,2,133,38,3,1,1,893.92,0,1.3178466076696165
408,5,0,35,0,0,39,3,1,1,550.16,0,1.4071428571428573
409,5,0,35,1,0,20,3,1,1,176.4,0,0.9633333333333334
410,4,0,35,0,0,7,3,1,1,233.0,0,1.0992337164750958
411,7,0,35,0,0,12,3,1,2,84.16,0,0.7456521739130434
412,23,0,35,3,43,27,3,1,1,779.08,0,1.1490015360983103
413,2,0,35,1,472,3,3,1,1,2005.36,0,2.5570175438596494
414,7,0,34,0,139,25,2,1,1,1322.055,0,1.4659961685823755
415,1,0,34,1,175,21,3,1,1,955.92,0,1.3504273504273503
416,0,0,34,0,0,6,2,1,2,31.545,0,1.9305555555555556
417,0,0,35,0,2,3,3,1,2,29.44,0,1.4722222222222223
418,0,1,34,0,0,0,2,1,2,0.0,1,0.0
419,1,0,34,0,373,38,2,1,1,2013.615,0,1.0263305322128853
420,5,0,34,1,0,42,4,1,1,285.775,0,1.2882420091324203
421,6,0,34,1,97,32,2,1,1,733.725,0,1.62636815920398
422,21,1,30,0,5,12,2,1,2,59.13,1,0.3311965811965812
423,19,0,33,8,0,37,5,1,1,155.1,0,2.01078431372549
424,11,1,33,1,15,19,2,1,1,325.26,1,1.0440740740740742
425,0,0,31,0,0,9,3,1,1,106.96,0,3.166666666666667
426,7,0,32,0,0,11,3,1,2,113.72,1,1.4191919191919193
427,7,1,33,0,23,26,3,1,2,176.96,1,0.9666666666666666
428,0,0,33,0,0,0,3,1,2,0.0,1,0.0
429,0,0,33,0,0,1,3,1,1,60.2,0,1.4588235294117649
430,1,0,30,1,3,17,5,1,1,104.91,0,1.2368913857677901
431,0,0,33,0,0,0,4,1,2,0.0,1,0.0
432,0,0,33,0,0,0,5,1,1,0.0,0,0.0
433,23,0,28,3,0,75,2,1,1,725.625,0,1.1518115942028986
434,4,0,31,3,260,28,2,2,1,1480.185,0,1.0470679012345678
435,0,0,33,0,0,23,2,1,1,162.54,0,0.7968468468468469
436,1,0,32,0,27,15,3,1,2,168.84,0,0.6875
437,4,0,33,0,164,18,2,1,1,857.025,0,0.962962962962963
438,2,0,24,1,182,6,2,2,1,871.335,0,0.6755952380952381
439,2,0,23,0,19,63,4,1,1,82.975,0,0.7462365591397849
440,9,0,24,0,0,2,2,1,2,24.165,0,0.5098039215686274
441,0,0,23,0,10,0,4,1,2,25.0,0,0.0
442,8,0,22,0,8,8,2,1,1,84.105,0,0.7256944444444445
443,0,0,22,0,0,18,3,1,1,123.92,0,0.9575471698113207
444,0,0,15,0,17,9,2,1,1,145.485,0,1.4027777777777777
445,14,0,14,1,74,37,2,2,1,618.57,0,0.7785714285714286
446,10,0,12,0,62,35,4,1,1,377.9,0,0.8949897750511246
447,6,0,13,3,20,14,3,1,1,188.4,0,1.204054054054054
448,0,0,6,1,204,5,3,1,1,985.68,0,2.1927083333333335
449,1,0,6,1,0,2,3,1,1,52.76,1,1.981818181818182
450,12,0,38,2,26,32,3,1,1,306.04,0,1.022633744855967
451,4,0,39,0,28,19,3,1,2,149.32,0,1.02
452,14,0,37,2,380,39,3,1,1,1644.92,0,0.7269047619047619
453,14,0,38,2,22,50,1,1,1,389.07,0,1.0521929824561405
454,7,0,38,2,23,48,2,1,1,241.245,0,0.733578431372549
455,15,0,38,3,53,43,3,1,1,390.68,0,0.792572463768116
456,8,0,38,2,306,33,3,1,1,1344.36,0,1.0068027210884354
457,17,0,37,4,165,58,3,2,1,1053.84,0,1.2360050890585241
458,11,0,38,2,21,59,3,1,1,666.08,0,1.338268156424581
459,11,0,38,3,23,40,3,1,1,300.32,0,0.9166666666666666
460,10,0,38,2,28,27,3,1,1,376.92,0,1.0346031746031747
461,13,0,38,0,29,32,3,1,2,232.08,0,0.7390625
462,29,0,38,5,75,47,3,1,1,939.0,0,1.1163120567375886
463,8,0,38,3,504,23,3,1,1,2165.28,0,1.6644144144144144
464,13,0,37,2,171,45,2,1,1,1501.965,0,1.396267361111111
465,7,0,37,3,207,41,3,1,1,1115.84,0,1.2326388888888888
466,4,0,37,0,21,26,2,1,2,161.955,0,1.0243055555555556
467,6,0,38,0,34,23,3,1,2,189.36,0,0.9097222222222222
468,4,0,37,0,21,15,2,1,2,121.95,1,1.0
469,7,0,37,2,405,58,3,1,1,1949.8,0,0.9863746958637469
470,11,0,37,3,32,62,4,1,1,385.725,0,1.2261178861788617
471,12,0,37,3,129,52,2,1,1,913.635,0,1.4349019607843136
472,27,1,33,0,37,32,3,1,2,212.48,1,0.45467836257309946
473,25,0,36,10,22,57,5,2,1,200.07,0,1.785598705501618
474,17,0,36,3,47,39,2,1,1,505.17,0,0.9904320987654321
475,5,0,34,2,21,29,3,1,1,222.88,0,1.7916666666666667
476,13,1,35,0,30,31,3,1,2,265.64,1,1.173202614379085
477,13,1,36,0,55,46,3,1,2,336.88,1,0.8851851851851852
478,4,0,36,0,21,17,3,1,2,113.8,1,1.0180555555555555
479,5,0,36,2,21,21,4,1,1,110.075,0,1.0799999999999998
480,7,0,33,3,35,37,5,1,1,164.88,0,1.1503115264797508
481,4,0,36,0,30,19,4,1,2,106.125,1,1.203921568627451
482,4,0,36,3,25,17,5,1,1,51.78,0,1.1166666666666667
483,29,0,31,5,21,95,2,1,1,856.035,0,1.1206317204301075
484,10,0,34,5,292,48,2,2,1,1660.095,0,1.0006613756613756
485,6,0,36,2,23,43,3,1,1,268.4,0,0.7822463768115943
486,7,1,35,0,59,35,3,1,2,328.76,1,0.6990740740740741
487,10,0,36,2,196,38,2,1,1,1036.935,0,0.8941798941798942
488,8,0,27,3,214,26,2,2,1,1051.245,0,0.6938405797101449
489,8,0,26,2,51,83,4,1,1,182.925,0,0.7374149659863946
490,15,0,27,0,31,22,3,1,2,177.4,0,0.6190476190476191
491,4,0,26,0,42,18,4,1,2,141.125,0,1.1875
492,14,0,25,2,40,28,2,1,1,264.015,0,0.7242063492063492
493,6,0,25,2,29,38,3,1,1,271.84,0,0.897887323943662
494,6,0,18,2,49,29,2,1,1,325.395,0,1.0625
495,20,0,17,3,106,57,2,2,1,798.48,0,0.7718543046357615
496,16,0,15,2,94,55,5,1,1,286.71,0,0.8778084714548803
497,12,0,16,5,52,34,3,1,1,348.32,0,1.0463636363636364
498,6,0,9,3,236,25,3,1,1,1145.6,0,1.6633333333333333
499,7,1,9,3,21,22,3,1,1,168.68,1,1.2
500,4,0,38,0,0,2,2,1,1,172.395,0,1.0300546448087433
501,0,0,39,0,0,0,2,1,2,0.0,0,0.0
502,6,0,37,0,338,9,2,1,1,1606.635,0,0.6176666666666667
503,6,0,38,0,0,20,1,1,1,200.97,0,1.0708333333333333
504,0,0,38,0,0,18,1,1,1,101.255,0,0.6225694444444444
505,7,0,38,0,11,13,3,1,1,173.88,0,0.7349537037037037
506,0,0,38,0,264,3,3,1,1,1127.56,0,1.011494252873563
507,9,0,37,0,123,28,3,1,1,837.04,0,1.2785285285285284
508,3,0,38,0,0,29,3,1,1,533.28,0,1.380817610062893
509,3,0,38,0,0,10,3,1,1,159.52,0,0.8938356164383562
510,2,0,38,0,0,15,2,1,1,243.135,0,1.0427450980392157
511,5,0,38,0,0,2,3,1,2,67.28,0,0.6204545454545455
512,21,0,38,1,33,17,3,1,1,722.2,0,1.1271317829457366
513,0,0,38,0,462,7,3,1,1,1948.48,0,2.446078431372549
514,5,0,37,0,129,15,2,1,1,1258.065,0,1.44234496124031
515,0,0,37,0,165,11,3,1,1,899.04,0,1.293859649122807
516,0,0,37,0,0,1,2,1,2,12.555,0,1.1458333333333333
517,0,0,38,0,0,1,2,1,2,5.13,0,0.4583333333333333
519,0,0,37,0,363,28,2,1,1,1949.625,0,0.9840455840455841
520,3,0,37,0,0,32,3,1,1,440.36,0,1.2575231481481481
521,4,0,37,0,87,22,2,1,1,669.735,0,1.5687179487179488
522,19,0,33,0,0,2,2,1,2,17.64,1,0.15990990990990991
523,17,0,36,6,0,27,4,1,1,247.95,0,1.9748995983935742
524,9,1,36,0,5,9,2,1,1,261.27,1,0.9882575757575758
525,0,0,34,0,0,4,3,1,1,90.08,0,3.111111111111111
526,5,0,35,0,0,1,3,1,2,96.84,1,1.2849462365591398
527,5,0,36,0,13,16,3,1,2,120.08,1,0.8176470588235294
528,0,0,36,0,0,0,3,1,2,0.0,1,0.0
529,0,0,36,0,0,3,3,1,1,43.32,0,1.1866666666666668
530,0,0,33,0,0,7,4,1,1,156.8,0,1.1848659003831417
531,0,0,36,0,0,0,4,1,2,0.0,1,0.0
532,0,0,36,0,0,0,5,1,1,0.0,0,0.0
533,21,0,31,1,0,65,2,1,1,706.635,0,1.1312134502923978
534,2,0,34,1,250,18,2,2,1,1416.195,0,1.0007861635220126
535,0,0,36,0,0,13,2,1,1,143.55,0,0.7217592592592593
536,0,0,35,0,17,5,3,1,2,111.96,0,0.5220588235294118
537,2,0,36,0,154,8,2,1,1,793.035,0,0.8449612403100776
538,0,0,27,0,172,1,2,2,1,807.345,0,0.4583333333333333
539,0,0,26,0,9,53,4,1,1,47.425,0,0.5563218390804597
540,7,0,27,0,0,3,2,1,2,5.175,0,0.11111111111111112
541,0,0,26,0,0,0,4,1,2,0.0,0,0.0
542,6,0,25,0,0,2,2,1,1,29.115,0,0.47348484848484845
543,0,0,25,0,0,8,3,1,1,107.04,0,0.8578431372549019
544,0,0,18,0,7,6,2,1,1,81.495,0,1.140625
545,12,0,17,0,64,27,1,2,1,677.82,0,0.7370229007633587
546,8,0,15,0,52,25,4,1,1,342.35,0,0.8626293995859213
547,4,0,16,1,10,4,3,1,1,131.52,0,1.0728571428571427
548,0,0,9,0,194,23,3,1,1,928.8,0,2.1055555555555556
549,0,1,9,0,0,3,3,1,1,35.88,1,1.6444444444444446
550,8,0,39,1,37,21,3,1,1,330.48,0,0.9707792207792207
551,0,0,40,0,39,8,3,1,2,173.76,0,0.6560606060606061
552,10,0,38,1,391,28,3,1,1,1669.36,0,0.6484848484848484
553,10,0,39,1,33,39,1,1,1,422.675,0,0.9983796296296297
554,3,0,39,1,34,37,2,1,1,268.74,0,0.653125
555,11,0,39,2,64,32,3,1,1,415.12,0,0.7367424242424242
556,4,0,39,1,317,22,4,1,1,855.5,0,0.9166666666666666
557,13,0,38,3,176,47,3,1,1,1078.28,0,1.2112860892388453
558,7,0,39,1,32,48,3,1,1,690.52,0,1.3226666666666667
559,7,0,39,2,34,29,3,1,1,324.76,0,0.8670411985018727
560,6,0,39,1,39,16,3,1,1,401.36,0,0.9955445544554455
561,9,1,39,0,40,21,3,1,2,256.52,0,0.6536111111111111
562,25,0,39,4,86,36,3,1,1,963.44,0,1.1006493506493507
563,4,0,39,2,515,12,4,1,1,1368.575,0,1.621212121212121
564,9,0,38,1,182,34,2,1,1,1529.46,0,1.3829787234042554
565,3,0,38,2,218,30,3,1,1,1140.28,0,1.1983695652173914
566,0,0,38,0,32,15,2,1,2,189.45,0,0.825
567,2,0,39,0,45,12,3,1,2,213.8,0,0.6875
568,0,0,38,0,32,4,2,1,2,149.445,1,0.3194444444444445
569,3,0,38,1,416,47,3,1,1,1974.24,0,0.9552631578947368
570,7,0,38,2,43,51,4,1,1,401.0,0,1.20625
571,8,0,38,2,140,41,2,1,1,941.13,0,1.4059670781893006
572,23,1,34,0,48,21,3,1,2,236.92,1,0.33647798742138363
573,21,0,37,9,33,46,5,1,1,209.235,0,1.7760942760942762
574,13,0,37,2,58,28,3,1,1,473.48,0,0.9508012820512821
575,1,0,35,1,32,18,3,1,1,247.32,0,1.7589285714285714
576,9,1,36,0,41,20,3,1,2,290.08,1,1.101063829787234
577,9,0,37,0,66,35,4,1,2,225.825,1,0.7943333333333333
578,0,0,37,0,32,6,3,1,2,138.24,1,0.5166666666666667
579,1,0,37,1,32,10,4,1,1,125.35,0,0.9586021505376343
580,3,0,34,2,46,26,5,1,1,174.045,0,1.116504854368932
581,0,0,37,0,41,8,4,1,2,121.4,1,0.9525641025641025
582,0,0,37,2,36,6,5,1,1,60.945,0,0.755
583,25,0,32,4,32,84,2,2,1,883.53,0,1.1058743169398906
584,6,0,35,4,303,37,3,2,1,1500.08,0,0.9672131147540983
585,2,0,37,1,34,32,3,1,1,292.84,0,0.7259469696969697
586,3,0,36,0,70,24,4,1,2,220.75,0,0.5933333333333334
587,6,0,37,1,207,27,2,1,1,1064.43,0,0.8177966101694916
588,4,0,28,2,225,15,3,2,1,958.88,0,0.5674603174603174
589,4,0,27,1,62,72,5,1,1,118.92,0,0.6233333333333333
590,11,0,28,0,42,11,3,1,2,201.84,0,0.4381720430107527
591,0,0,27,0,53,7,4,1,2,156.4,0,0.9791666666666666
592,10,0,26,1,51,17,2,1,1,291.51,0,0.587719298245614
593,2,0,26,1,40,27,3,1,1,296.28,0,0.8308457711442786
594,2,0,19,1,60,18,3,1,1,313.68,0,0.9427083333333334
595,16,0,18,2,117,46,2,2,1,825.975,0,0.7378684807256236
596,12,0,16,1,105,44,5,1,1,295.875,0,0.8519774011299436
597,8,0,17,4,63,23,3,2,1,372.76,0,0.9699346405228758
598,2,0,10,2,247,14,3,1,1,1170.04,0,1.632246376811594
599,3,0,10,2,32,11,3,1,1,193.12,1,1.0686666666666667
600,8,0,37,0,0,13,2,1,1,194.4,0,1.0910256410256411
601,0,0,38,0,0,0,2,1,2,0.0,0,0.0
602,10,0,36,0,327,20,2,1,1,1579.14,0,0.721604938271605
603,10,0,37,0,0,31,1,1,1,227.865,0,1.1341666666666665
604,3,0,37,0,0,29,1,1,1,128.15,0,0.7301282051282052
605,11,0,37,0,0,24,2,1,1,168.12,0,0.8026315789473685
606,4,0,37,0,253,14,3,1,1,1103.12,0,1.1338383838383839
607,13,0,36,1,112,39,3,1,1,812.6,0,1.3043478260869565
608,7,0,37,0,0,40,3,1,1,552.84,0,1.396523517382413
609,7,0,37,0,0,21,3,1,1,179.08,0,0.9523809523809523
610,6,0,37,0,0,8,2,1,1,265.14,0,1.0867041198501872
611,9,0,37,0,0,13,3,1,2,86.84,0,0.7371527777777778
612,25,0,37,2,22,28,3,1,1,697.76,0,1.1434550989345509
613,4,0,37,0,451,4,3,1,1,1924.04,0,2.365079365079365
614,9,0,36,0,118,26,2,1,1,1230.57,0,1.4554924242424243
615,3,0,36,0,154,22,3,1,1,874.6,0,1.3302083333333334
616,0,0,36,0,0,7,2,1,2,34.56,0,1.5833333333333333
617,2,0,37,0,0,4,2,1,2,27.135,0,1.2395833333333333
618,0,1,36,0,0,0,2,1,2,0.0,1,0.0
619,3,0,36,0,352,39,2,1,1,1922.13,0,1.0183195592286503
620,7,0,36,0,0,43,3,1,1,459.92,0,1.2781531531531531
621,8,0,36,0,76,33,2,1,1,642.24,0,1.594927536231884
622,23,0,32,0,0,13,2,1,2,39.645,1,0.34146341463414637
623,21,0,35,7,0,38,4,2,1,260.175,0,1.9770114942528736
624,13,1,35,0,0,20,2,1,1,260.775,1,1.0331521739130434
625,1,0,33,0,0,10,3,1,1,109.64,0,2.8385416666666665
626,9,1,34,0,0,12,2,1,2,130.95,1,1.369047619047619
627,9,0,35,0,2,27,3,1,2,95.64,1,0.9442982456140351
629,1,0,35,0,0,2,3,1,1,62.88,0,1.3622807017543859
630,3,0,32,0,0,18,4,1,1,169.025,0,1.2216117216117217
631,0,0,35,0,0,3,4,1,2,12.85,1,8.55
632,0,0,35,0,0,0,4,1,1,0.0,0,0.0
633,25,0,30,2,0,76,2,1,1,728.64,0,1.146551724137931
634,6,0,33,2,239,29,2,2,1,1388.7,0,1.0378787878787878
635,2,0,35,0,0,24,2,1,1,165.555,0,0.7901315789473684
636,3,0,34,0,6,16,3,1,2,87.52,0,0.6798245614035088
637,6,0,35,0,143,19,2,1,1,765.54,0,0.9450354609929078
638,4,0,26,0,161,7,2,2,1,779.85,0,0.6666666666666666
639,4,0,25,0,0,64,4,1,1,37.15,0,0.7338383838383837
640,11,0,26,0,0,3,2,1,2,27.18,0,0.5131578947368421
641,0,0,25,0,0,1,4,1,2,17.85,0,2.9583333333333335
642,10,0,24,0,0,9,2,1,1,51.12,0,0.7115384615384616
643,2,0,24,0,0,19,3,1,1,126.6,0,0.9424242424242425
644,2,0,17,0,0,10,2,1,1,72.0,0,1.3166666666666667
645,16,0,16,0,53,38,1,2,1,644.215,0,0.7750617283950618
646,12,0,14,0,41,36,4,1,1,327.075,0,0.8907070707070707
647,8,0,15,2,0,15,3,1,1,111.08,0,1.1700854700854701
648,2,0,8,0,183,6,3,1,1,904.36,0,2.0955882352941178
649,3,1,8,0,0,3,2,1,1,62.37,1,1.7602564102564102
650,10,0,38,0,14,20,3,1,1,241.28,0,1.0555555555555556
651,2,0,39,0,16,7,2,1,2,95.13,0,1.4111111111111112
652,12,0,37,0,368,27,3,1,1,1580.16,0,0.7221311475409835
653,12,0,38,0,10,38,1,1,1,300.025,0,1.0915422885572141
654,5,0,38,0,11,36,1,1,1,205.81,0,0.7296610169491525
655,13,0,38,1,41,31,3,1,1,325.92,0,0.7961847389558232
656,6,0,38,0,294,21,3,1,1,1279.6,0,1.0625
657,15,0,37,2,153,46,3,1,1,989.08,0,1.2711748633879782
658,9,0,38,0,9,47,3,1,1,601.32,0,1.368921568627451
659,9,0,38,1,11,28,3,1,1,235.56,0,0.933531746031746
660,8,0,38,0,16,15,3,1,1,312.16,0,1.0604166666666666
661,11,1,38,0,17,20,3,1,2,167.32,0,0.7357575757575758
662,27,0,38,3,63,35,3,1,1,874.24,0,1.1305309734513274
663,6,0,38,1,492,11,3,1,1,2100.52,0,1.9553571428571428
664,11,0,37,0,159,33,2,1,1,1429.11,0,1.4275956284153006
665,5,0,37,1,195,29,3,1,1,1051.08,0,1.2816091954022988
666,2,0,37,0,9,14,2,1,2,89.1,0,1.1833333333333333
667,4,0,38,0,22,11,3,1,2,124.6,0,1.0
668,2,0,37,0,9,3,2,1,2,49.095,1,3.1666666666666665
669,5,0,37,0,393,46,2,1,1,2120.67,0,1.00234375
670,9,0,37,1,20,50,4,1,1,345.25,0,1.2532258064516129
671,10,0,37,1,117,40,2,1,1,840.78,0,1.5149122807017545
672,25,1,33,0,25,20,2,1,2,166.185,1,0.3975694444444444
673,23,0,36,8,10,45,5,1,1,175.785,0,1.8838652482269505
674,15,0,36,1,35,27,2,1,1,432.315,1,1.0114478114478116
675,3,0,34,0,9,17,3,1,1,158.12,0,2.1956521739130435
676,11,1,35,0,18,19,3,1,2,200.88,1,1.2619047619047619
677,11,1,36,0,43,34,3,1,2,272.12,1,0.9103703703703704
678,2,0,36,0,9,5,3,1,2,49.04,1,1.7944444444444445
679,3,0,36,0,9,9,3,1,1,111.36,0,1.191025641025641
680,5,0,33,1,23,25,5,1,1,140.595,0,1.1862244897959184
681,2,0,36,0,18,7,4,1,2,65.65,1,1.7041666666666666
682,2,0,36,1,13,5,5,1,1,27.495,0,1.7600000000000002
683,27,0,31,3,9,83,2,1,1,783.18,0,1.1342398884239888
684,8,0,34,3,280,36,2,2,1,1587.24,0,1.0192307692307692
685,4,0,36,0,11,31,2,1,1,229.095,0,0.7847389558232932
686,5,0,35,0,47,23,3,1,2,264.0,0,0.6870370370370371
687,8,0,36,0,184,26,2,1,1,964.08,0,0.9166666666666666
688,6,1,27,1,202,14,2,2,1,978.39,1,0.6779279279279279
689,6,0,26,0,39,71,4,1,1,142.45,0,0.7325
690,13,0,27,0,19,10,2,1,2,126.72,0,0.5705128205128205
691,2,0,26,0,30,6,4,1,2,100.65,0,1.537878787878788
692,12,0,25,0,28,16,2,1,1,191.16,0,0.7146464646464646
693,4,0,25,0,17,26,3,1,1,207.08,0,0.918010752688172
694,4,0,18,0,37,17,2,1,1,252.54,0,1.1635802469135803
695,18,0,17,1,94,45,2,2,1,725.58,0,0.7725352112676056
696,14,0,15,0,82,43,4,1,1,437.35,0,0.8839147286821706
697,10,0,16,3,40,22,3,1,1,283.52,0,1.1021739130434782
698,4,0,9,1,224,13,3,1,1,1080.84,0,1.8617886178861787
699,5,0,9,1,9,10,3,1,1,103.88,1,1.3975
700,6,0,38,0,0,14,3,1,1,170.0,0,0.9952380952380953
701,0,0,39,0,0,1,2,1,2,5.94,0,0.5333333333333333
702,8,0,37,0,350,21,3,1,1,1492.88,0,0.6392655367231639
703,8,0,38,0,0,32,1,1,1,224.015,0,1.0276923076923077
704,1,0,38,0,0,30,1,1,1,124.3,0,0.6441520467836258
705,9,0,38,1,23,25,3,1,1,238.64,0,0.7376543209876543
706,2,0,38,0,276,15,3,1,1,1192.32,0,0.9517543859649122
707,11,0,37,2,135,40,3,1,1,901.8,0,1.2395833333333333
708,5,0,38,0,0,41,3,1,1,550.04,0,1.3475198412698413
709,5,0,38,1,0,22,3,1,1,176.28,0,0.8790650406504065
710,4,0,38,0,0,9,3,1,1,232.88,0,1.0156028368794325
711,7,0,38,0,0,14,3,1,2,84.04,0,0.6440251572327044
712,23,0,38,3,45,29,3,1,1,786.96,0,1.1123511904761905
713,2,0,38,1,474,5,3,1,1,2013.24,0,1.862179487179487
714,7,0,37,0,141,27,2,1,1,1330.92,0,1.4083793738489871
715,1,0,37,1,177,23,3,1,1,963.8,0,1.2372549019607844
716,0,0,37,0,0,8,2,1,2,31.41,0,0.8782051282051282
717,0,0,38,0,4,5,3,1,2,37.32,0,0.6666666666666666
719,1,0,37,0,375,40,2,1,1,2022.48,0,0.967989417989418
720,5,0,37,1,2,44,4,1,1,290.7,0,1.2282135076252723
721,6,0,37,1,99,34,2,1,1,742.59,0,1.4702702702702701
722,21,0,33,0,7,14,2,1,2,67.995,1,0.27717391304347827
723,19,0,36,8,0,39,5,2,1,155.055,0,1.8559782608695652
724,11,0,36,1,17,21,2,1,1,334.125,1,0.9670103092783505
725,0,0,34,0,0,11,3,1,1,106.84,0,2.1031746031746033
726,7,1,35,0,0,13,3,1,2,113.6,1,1.1666666666666665
727,7,0,36,0,25,28,3,1,2,184.84,1,0.8054263565891473
729,0,0,36,0,0,3,3,1,1,60.08,0,1.0263888888888888
730,1,0,33,1,5,19,5,1,1,107.865,0,1.144965277777778
731,0,0,36,0,0,1,4,1,2,11.1,1,1.2166666666666666
732,0,0,36,1,0,0,5,1,1,0.0,0,0.0
733,23,0,31,3,0,77,2,1,1,725.49,0,1.1170886075949367
734,4,0,34,3,262,30,2,2,1,1489.05,0,0.9818840579710145
735,0,0,36,0,0,25,2,1,1,162.405,0,0.7259259259259259
736,1,0,35,0,29,17,3,1,2,176.72,0,0.5717054263565892
737,4,0,36,0,166,20,2,1,1,865.89,0,0.8301282051282051
738,2,0,27,1,184,8,2,2,1,880.2,0,0.5357142857142857
739,2,0,26,0,21,65,4,1,1,87.9,0,0.6043859649122807
740,9,0,27,0,1,4,2,1,2,28.53,0,0.3541666666666667
741,0,0,26,0,12,1,4,1,2,46.1,0,1.175925925925926
742,8,0,25,0,10,10,2,1,1,92.97,0,0.5564516129032258
743,0,0,25,0,0,20,3,1,1,123.8,0,0.8430555555555556
744,0,0,18,0,19,11,2,1,1,154.35,0,1.0033333333333332
745,14,0,17,1,76,39,2,2,1,627.39,0,0.7383333333333333
746,10,0,15,0,64,37,4,1,1,382.8,0,0.8570588235294117
747,6,0,16,3,22,16,3,1,1,196.24,0,1.0083333333333333
748,0,0,9,1,206,7,3,1,1,993.56,0,1.794871794871795
749,1,0,9,1,0,4,3,1,1,52.6,1,1.200925925925926
750,6,0,33,0,0,16,2,1,1,199.575,0,1.1205128205128205
751,0,0,34,0,0,3,2,1,2,14.49,0,1.325
752,8,0,32,0,351,23,2,1,1,1692.315,0,0.7570987654320988
753,8,0,33,0,0,34,1,1,1,234.19,0,1.166111111111111
754,1,0,33,0,0,32,1,1,1,134.475,0,0.7669871794871794
755,9,0,33,0,24,27,2,1,1,281.295,0,0.8278508771929824
756,2,0,33,0,277,17,3,1,1,1203.72,0,1.191919191919192
757,11,0,32,1,136,42,3,1,1,913.2,0,1.3210144927536231
758,5,0,33,0,0,43,3,1,1,557.44,0,1.408282208588957
759,5,0,33,0,0,24,3,1,1,183.68,0,0.9772727272727273
760,4,0,33,0,0,11,2,1,1,270.315,0,1.108239700374532
761,7,1,33,0,0,16,3,1,2,91.44,0,0.7770833333333332
762,23,0,33,2,46,31,3,1,1,798.36,0,1.15220700152207
763,2,0,33,0,475,7,3,1,1,2024.64,0,2.4563492063492065
764,7,0,32,0,142,29,2,1,1,1343.745,0,1.4663825757575757
765,1,0,32,0,178,25,3,1,1,975.2,0,1.3541666666666665
766,0,0,32,0,0,10,2,1,2,39.735,0,1.8229166666666667
767,0,0,33,0,5,7,2,1,2,54.81,0,1.4791666666666667
768,0,0,32,0,0,0,2,1,2,0.0,1,0.0
769,1,0,32,0,376,42,2,1,1,2035.305,0,1.0341597796143251
770,5,0,32,0,3,46,3,1,1,476.52,0,1.2911036036036037
771,6,0,32,0,100,36,2,1,1,755.415,0,1.622705314009662
772,21,1,28,0,8,16,2,1,2,80.82,1,0.3882113821138211
773,19,0,31,7,0,41,4,1,1,263.05,0,1.9990421455938696
774,11,0,31,0,18,23,2,1,1,346.95,1,1.0539855072463769
775,0,0,29,0,0,13,3,1,1,114.24,0,2.9583333333333335
776,7,1,30,0,1,15,2,1,2,140.625,1,1.4238095238095239
777,7,1,31,0,26,30,3,1,2,196.24,1,0.994736842105263
778,0,1,31,0,0,0,2,1,2,0.0,1,0.0
779,0,0,31,0,0,5,3,1,1,67.48,0,1.4631578947368422
780,1,0,28,0,6,21,4,1,1,186.9,0,1.2426739926739927
781,0,0,31,0,1,3,4,1,2,18.225,1,10.466666666666667
782,0,0,31,0,0,1,4,1,1,8.575,0,1.1266666666666667
783,23,0,26,2,0,79,2,1,1,733.815,0,1.1548132183908046
784,4,0,29,2,263,32,2,2,1,1501.875,0,1.0553030303030302
785,0,0,31,0,0,27,2,1,1,170.73,0,0.8153508771929825
786,1,0,30,0,30,19,3,1,2,188.12,0,0.7302631578947368
787,4,0,31,0,167,22,2,1,1,878.715,0,0.9858156028368795
788,2,0,22,0,185,10,2,2,1,893.025,0,0.7305555555555556
789,2,0,21,0,22,67,4,1,1,95.025,0,0.7919191919191919
790,9,0,22,0,2,6,2,1,2,41.355,0,0.6140350877192983
791,0,0,21,0,13,2,4,1,2,53.225,0,3.4375
792,8,0,20,0,11,12,2,1,1,105.795,0,0.7852564102564104
793,0,0,20,0,0,22,3,1,1,131.2,0,0.9772727272727273
794,0,0,13,0,20,13,2,1,1,167.175,0,1.4125
795,14,0,12,0,77,41,1,2,1,782.485,0,0.7891358024691358
796,10,0,10,0,65,39,4,1,1,389.925,0,0.9022222222222223
797,6,0,11,2,23,18,3,1,1,207.64,0,1.2188034188034187
798,0,0,4,0,207,9,3,1,1,1004.96,0,2.151960784313726
799,1,0,4,0,0,6,2,1,1,67.5,1,1.9064102564102565
800,10,0,43,1,13,18,3,1,1,229.88,0,0.9458874458874458
801,2,0,44,0,15,5,3,1,2,73.16,0,0.4818181818181818
802,12,0,42,1,367,25,3,1,1,1568.76,0,0.6194444444444445
803,12,0,43,1,9,36,1,1,1,284.35,0,0.9717592592592593
804,5,0,43,1,10,34,2,1,1,155.565,0,0.6231770833333333
805,13,0,43,2,40,29,3,1,1,314.52,0,0.7149621212121212
